xrc,xrd,beta_c,beta_d,beta_c_minus,beta_d_minus,N_on_c,N_on_d,N_optout,P_total,Pref,Eavg
0,0,0,0,0,0,0,0,0,0,600,0.500008740768268
3,1,1,0,0,0,0,0,0,14.3399282514205,600,0.499978564922903
6,1,1,0,0,0,3,0,0,37.3226654219956,600,0.499950265572415
8,1,1,0,0,0,9,0,0,71.7003419106521,600,0.499927912302285
12,0,1,0,0,0,17,0,0,118.40760910447,600,0.499911265556281
6,3,1,0,0,0,29,0,0,144.419941735228,600,0.499904948282079
4,0,1,0,0,0,35,0,0,161.142291857309,600,0.49990335713491
1,1,1,0,0,0,39,0,0,166.314189358199,600,0.499904777853405
4,2,1,0,0,0,40,0,0,185.948687619898,600,0.499906661300318
5,3,1,0,0,0,44,0,0,208.841047007558,600,0.499910436473792
11,4,1,0,0,0,49,0,0,257.499035993984,600,0.499918885919798
2,0,1,0,0,0,60,0,0,264.934910333558,600,0.499934929140517
4,5,1,0,0,0,62,0,0,283.002248681565,600,0.499952346539105
5,1,1,0,0,0,66,0,0,309.012827291824,600,0.499972630414722
6,1,1,0,0,0,71,0,0,335.703291458699,600,0.49999535412126
0,0,0,0,0,0,77,0,0,335.703291458699,600,0.500022341450452
2,1,1,0,0,0,77,0,0,343.101136950736,600,0.500049231467751
4,4,1,0,0,0,79,0,0,361.770795507041,600,0.500078707381178
3,2,1,0,0,0,83,0,0,374.087815339374,600,0.500110300957008
5,1,1,0,0,0,86,0,0,394.61119595727,600,0.500144193808753
2,5,1,0,0,0,91,0,0,404.318006274919,600,0.500183176139697
7,4,1,0,0,0,93,0,0,434.582539158432,600,0.500223404948692
3,3,1,0,0,0,100,0,0,446.206756478259,600,0.500269228939611
4,3,1,0,0,0,103,0,0,461.574559762497,600,0.50031738632477
5,2,1,0,0,0,107,0,0,484.314015986084,600,0.500368922320821
6,3,1,0,0,0,112,0,0,515.710756673748,600,0.500424343022227
2,6,1,0,0,0,118,0,0,523.706895144602,600,0.500483274777633
4,1,1,0,0,0,120,0,0,539.211065758341,600,0.500544066723636
9,1,1,0,0,0,124,0,0,580.528004279231,600,0.500606549538588
2,6,1,0,0,0,133,0,0,589.649469906604,600,0.500676418605707
2,4,1,0,0,0,135,0,0,597.525996483403,600,0.500747793718231
3,1,0.333333333333333,0,0,0,137,0,0,601.423880522827,600,0.500820183311631
4,1,0,1,0,0,138,0,0,595.327703029714,600,0.500894028951992
4,2,0.5,0,0,0,138,1,0,604.729502662172,600,0.500965993132869
4,3,0,0.333333333333333,0,0,140,1,0,599.640891209927,600,0.501040120800405
1,0,1,0,0,0,140,2,0,604.721295205406,600,0.501113077381313
6,1,0,1,0,0,141,2,0,599.38695874867,600,0.501187645630568
6,1,0.166666666666667,0,0,0,141,3,0,602.813155783083,600,0.501261307511787
4,3,0,0.333333333333333,0,0,142,3,0,598.253877847035,600,0.501335706544375
9,1,0.111111111111111,0,0,0,142,4,0,603.8271168863,600,0.501408981976899
3,3,0,0.333333333333333,0,0,143,4,0,598.428417617678,600,0.501484056322609
4,4,0.25,0,0,0,143,5,0,601.91905372647,600,0.501557660328198
5,2,0,0.5,0,0,144,5,0,599.154954629701,600,0.50163195610177
5,3,0.2,0,0,0,144,6,0,604.140189861909,600,0.501706339779234
3,3,0,0.333333333333333,0,0,145,6,0,597.484598511603,600,0.50178065027334
6,3,0.166666666666667,0,0,0,145,7,0,602.74538974182,600,0.501854374207073
0,1,0,1,0,0,146,7,0,599.813831887269,600,0.501928833560382
3,2,0.333333333333333,0,0,0,146,8,0,603.304175784399,600,0.50200299570131
0,2,0,0.5,0,0,147,8,0,597.187902325522,600,0.502078022034109
6,1,0.166666666666667,0,0,0,147,9,0,601.792106572987,600,0.502152852990178
5,2,0,0.5,0,0,148,9,0,596.785486304464,600,0.502228139901236
4,4,0.25,0,0,0,148,10,0,600.302365572658,600,0.502302602905988
5,2,0,0.5,0,0,149,10,0,595.616157412358,600,0.502377332143518
3,1,0.333333333333333,0,0,0,149,11,0,600.189296298527,600,0.502451400352858
7,2,0,0.5,0,0,150,11,0,593.857049420963,600,0.50252588682652
7,2,0.285714285714286,0,0,0,150,12,0,601.775549260456,600,0.502600532937168
2,3,0,0.333333333333333,0,0,152,12,0,597.208752605679,600,0.502676379993684
4,0,0.25,0,0,0,152,13,0,602.221250141294,600,0.50275167017347
10,1,0,1,0,0,153,13,0,597.505293783679,600,0.502827890172537
1,1,1,0,0,0,153,14,0,602.483694486173,600,0.502903617336626
1,4,0,0.25,0,0,154,14,0,596.697483194078,600,0.502980378236659
4,1,0.25,0,0,0,154,15,0,601.413699284312,600,0.503056103330566
3,1,0,1,0,0,155,15,0,595.942435291588,600,0.503132785147618
2,1,0.5,0,0,0,155,16,0,600.06220097178,600,0.503208666857567
5,1,0,1,0,0,156,16,0,593.951744084107,600,0.503285088587734
2,1,1,0,0,0,156,17,0,601.981046406491,600,0.503361551801344
4,1,0,1,0,0,158,17,0,597.386206397954,600,0.503439195088541
3,2,0.333333333333333,0,0,0,158,18,0,601.198738219228,600,0.503516355130815
3,2,0,0.5,0,0,159,18,0,595.385064503583,600,0.503594667313674
4,0,0.25,0,0,0,159,19,0,600.752429964941,600,0.503671930523005
0,1,0,1,0,0,160,19,0,597.774359261037,600,0.503750074442529
2,1,0.5,0,0,0,160,20,0,601.72431301881,600,0.503827525550061
3,2,0,0.5,0,0,161,20,0,599.22431301881,600,0.503905684805287
5,2,0.2,0,0,0,161,21,0,604.028623300602,600,0.5039839592177
3,2,0,0.5,0,0,162,21,0,598.710956050622,600,0.504062746611646
3,0,0.333333333333333,0,0,0,162,22,0,603.437490299742,600,0.504141440760797
1,0,0,0,0,0,163,22,0,603.437490299742,600,0.504220972282821
2,3,0,0.333333333333333,0,0,163,22,0,596.683019000165,600,0.504300737417774
5,2,0.2,0,0,0,163,23,0,603.029954113867,600,0.504379017266154
1,5,0,0.4,0,0,164,23,0,594.73224941855,600,0.504457550092477
7,0,0.285714285714286,0,0,0,164,25,0,605.878826144459,600,0.504535642058104
1,2,0,1,0,0,166,25,0,594.996748254214,600,0.504615962418579
3,3,0.666666666666667,0,0,0,166,27,0,606.156058643616,600,0.504695367024116
1,4,0,0.5,0,0,168,27,0,596.689002707802,600,0.504775417469222
2,2,0.5,0,0,0,168,29,0,601.465003715285,600,0.504854672843284
3,0,0,0,0,0,169,29,0,601.465003715285,600,0.504935186175885
6,0,0,0,0,0,169,29,0,601.465003715285,600,0.505015216017606
7,1,0,1,0,0,169,29,0,596.20944398746,600,0.505095405861644
8,1,0.125,0,0,0,169,30,0,600.853341003801,600,0.50517425294264
1,3,0,0.333333333333333,0,0,170,30,0,595.295190001988,600,0.505254906842592
4,2,0.5,0,0,0,170,31,0,604.012104831734,600,0.505334771410897
